,Номер_в_госреестре,Наименование_СИ,Единица_измерения_СИ,Модификация_СИ,Тип_СИ,Погрешность_СИ,Дата_утверждения_типа_СИ,Производитель_СИ,Дата_поверки_СИ,Наименование_файла_с_описанием
939,45959-10,Штангенглубиномеры,,MarCal 30 ER,"MarCal 30 EWR, MarCal 30 ER, MarCal 30 EWN",,,"Фирма ""Mahr GmbH Esslingen"", Германия",2021-10-13T00:00:00Z,2015-45959-10.pdf
940,64188-16,Индикаторы,,Индикатор ИЧ-3,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2021-10-13T00:00:00Z,2016-64188-16.pdf
941,64188-16,Индикаторы,,"Индикатор ц.д. 0,01 ИЧ-50",ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2021-10-13T00:00:00Z,2016-64188-16.pdf
942,64188-16,Индикаторы,,Индикатор ИЧ-10,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2021-10-13T00:00:00Z,2016-64188-16.pdf
943,54757-13,Меры-имитаторы,,Меры-имитаторы Р40116М,Р40116М,,,"АО ""MICRON"", Молдова, г.Кишинев",2021-10-13T00:00:00Z,2018-54757-13.pdf
944,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВ 2/10,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-10-13T00:00:00Z,2008-27361-04.pdf
945,68997-17,Сигнализаторы загазованности комбинированные,,RGDCOOMP11SE,RGDCO0MP1,,,"Фирма ""Seitron S.p.A."", Италия",2021-10-13T00:00:00Z,2017-68997-17.pdf
946,44377-10,Термоанемометры,,Термоанемометр ТТМ-2-04,ТТМ-2,,,"АО ""Экологические сенсоры и системы"" (ЭКСИС), г.Москва",2021-10-13T00:00:00Z,2020-44377-10-2.pdf
947,54814-13,Штангенрейсмасы,,"ШР,","ШР, ШРК, ШРЦ",,,"ООО ""ГЦ Тулз"", г.Димитровград",2021-10-13T00:00:00Z,2013-54814-13.pdf
948,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"Штангенциркули торговой марки ""Калиброн""  с отсчетом по нониусу двусторонние с глубиномером, 0-150 мм, ц.д. 0,05 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-13T00:00:00Z,2014-57709-14.pdf
949,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"Штангенциркули торговой марки ""Калиброн""  с цифровым отсчетным устройством двусторонние с глубиномером, 0-150 мм, ц.д. 0,01 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-13T00:00:00Z,2014-57709-14.pdf
950,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"Штангенциркули торговой марки ""Калиброн""  с отсчетом по нониусу односторонние, 0-500 мм, ц.д. 0,05 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-13T00:00:00Z,2014-57709-14.pdf
951,55585-13,Измерители иммитанса,,нет модификации,"ПрофКИП Е7-14М, ПрофКИП Е7-20М, ПрофКИП Е7-23М, ПрофКИП Е7-24М, ПрофКИП Е7-25М",,,"ЗАО ""ПрофКИП"", г.Мытищи",2021-10-13T00:00:00Z,2018-55585-13.pdf
952,46659-11,Клещи электроизмерительные,,APPA A6D,"APPA A6, APPA A6D, APPA A6DR, APPA A7A, APPA A7D, APPA A9, APPA A10N",,,"Фирма ""APPA Technology Corporation"", Тайвань",2021-10-13T00:00:00Z,2016-46659-11.pdf
953,68767-17,Источники питания постоянного тока,,Б5-93,"Б5-91, Б5-92, Б5-93, Б5-94",,,"ООО ""Радиоспектр Плюс"", Беларусь, г.Минск",2021-10-13T00:00:00Z,2017-68767-17.pdf
954,72373-18,Тестеры батарей,,АКИП-6302/1,"АКИП-6302, АКИП-6302/1",,,"Фирма ""ITECH Electronic Co., Ltd."", Китай",2021-10-13T00:00:00Z,2018-72373-18.pdf
955,79348-20,Весы неавтоматического действия,,MCA10202S-2ORU-0,"MCA, MCE",,,"Фирма ""Sartorius Lab Instruments GmbH & Co. KG"", Германия",2021-10-13T00:00:00Z,2021-79348-20.pdf
956,64088-16,Газосигнализаторы автоматические,,без модификации,ГСА/АИГ,,,"ОАО ""ГосНИИхиманалит"", г.С.-Петербург",2021-10-13T00:00:00Z,2016-64088-16.pdf
957,21004-11,Анемометры ручные электронные,,Анемометр ручной электронный АРЭ,АРЭ,,,"АО ""Сафоновский завод ""Гидрометприбор"", г.Сафоново",2021-10-13T00:00:00Z,2016-21004-11.pdf
958,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-III-500-0,1",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-13T00:00:00Z,2014-57709-14.pdf
959,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"с отсчетом по нониусу (0-250) мм, ц.д. 0,02 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-13T00:00:00Z,2014-57709-14.pdf
960,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"с отсчетом по нониусу (0-150) мм, ц.д. 0,1 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2021-10-13T00:00:00Z,2014-57709-14.pdf
961,48026-11,Весы лабораторные,,МАССА-К ВК-150.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-13T00:00:00Z,2021-48026-11.pdf
962,48026-11,Весы лабораторные,,МАССА-К ВК-600,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-13T00:00:00Z,2021-48026-11.pdf
963,48026-11,Весы лабораторные,,МАССА-К ВК-600.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2021-10-13T00:00:00Z,2021-48026-11.pdf
